#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
1,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.49129448684515
2,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.48015129897852
3,10,0.001,1,0.01,0.001,0.0001,0.001,0.001,1.46815515883052
1,10,0.005,0.005,1,1,3,0.5,0.9,1.41070955774146
2,10,0.005,0.005,1,1,3,0.5,0.9,1.34560105832236
3,10,0.005,0.005,1,1,3,0.5,0.9,1.30034521203853
4,10,0.005,0.005,1,1,3,0.5,0.9,1.26711646023253
1,10,0.005,0.005,1,1,3,0.5,0.9,1.41505621344167
2,10,0.005,0.005,1,1,3,0.5,0.9,1.34646306833174
3,10,0.005,0.005,1,1,3,0.5,0.9,1.30175336902471
4,10,0.005,0.005,1,1,3,0.5,0.9,1.26806467268279
5,10,0.005,0.005,1,1,3,0.5,0.9,1.24313365543107
6,10,0.005,0.005,1,1,3,0.5,0.9,1.2228533228024
7,10,0.005,0.005,1,1,3,0.5,0.9,1.20629791141765
8,10,0.005,0.005,1,1,3,0.5,0.9,1.19209096667443
1,10,0.005,0.005,0.01,1,3,0.0015,0.0015,1.41401908924899
2,10,0.005,0.005,0.01,1,3,0.0015,0.0015,1.34606001609024
3,10,0.005,0.005,0.01,1,3,0.0015,0.0015,1.29830790225781
4,10,0.005,0.005,0.01,1,3,0.0015,0.0015,1.26896316290769
1,10,0.005,0.005,1,1,3,0.5,0.9,1.41134656788808
2,10,0.005,0.005,1,1,3,0.5,0.9,1.34301743301911
3,10,0.005,0.005,1,1,3,0.5,0.9,1.29950236609513
4,10,0.005,0.005,1,1,3,0.5,0.9,1.26822359759932
5,10,0.005,0.005,1,1,3,0.5,0.9,1.24327995795328
6,10,0.005,0.005,1,1,3,0.5,0.9,1.22288621213737
7,10,0.005,0.005,1,1,3,0.5,0.9,1.20647071973081
8,10,0.005,0.005,1,1,3,0.5,0.9,1.19278499424298
1,10,0.005,0.005,1,1,3,0.5,0.9,1.40922280293361
2,10,0.005,0.005,1,1,3,0.5,0.9,1.34330316322488
3,10,0.005,0.005,1,1,3,0.5,0.9,1.29940271890391
4,10,0.005,0.005,1,1,3,0.5,0.9,1.26749757399103
1,10,0.7,0.005,1,1,3,0.5,0.9,1.82662108045169
2,10,0.7,0.005,1,1,3,0.5,0.9,1.93819197398616
1,10,0.005,0.005,0.01,1,3,0.0015,0.0015,1.41292618877464
2,10,0.005,0.005,0.01,1,3,0.0015,0.0015,1.34844389913818
3,10,0.005,0.005,0.01,1,3,0.0015,0.0015,1.30592258539554
1,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.47242749013341
2,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.43571799369397
3,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.40761975968084
4,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.38557792061655
5,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.36914932104707
6,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.35540048197336
7,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.34354875101561
8,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.33340835175397
9,10,0.005,5,0.01,0.001,0.003,0.0015,0.0015,1.32542358560869
1,10,0.7,5,0.01,0.001,0.003,0.0015,0.0015,2.52469923675169
1,10,0.08,5,0.01,0.001,0.003,0.0015,0.0015,1.32040523048029
